[2025-09-02 17:04:28.360] [info] topic=vd/scatter, payload={"xy": [10.309325682624525, -0.01893902762961617], "xz": [10.309325682624525, 2.011592546785037]}
[2025-09-02 17:04:28.361] [info] topic=vd/scatter, payload={"xy": [10.280477687699975, -0.08713556583024121], "xz": [10.280477687699975, 2.012917613915078]}
[2025-09-02 17:04:28.361] [info] topic=vd/scatter, payload={"xy": [10.254890988380225, -0.16909791725134418], "xz": [10.254890988380225, 2.0142042354313734]}
[2025-09-02 17:04:28.361] [info] topic=vd/scatter, payload={"xy": [10.229292261891468, -0.2666126334557536], "xz": [10.229292261891468, 2.0160296642032955]}
[2025-09-02 17:04:28.361] [info] topic=vd/scatter, payload={"xy": [10.19969864333947, -0.34186223792135284], "xz": [10.19969864333947, 2.0170368342348866]}
[2025-09-02 17:04:28.362] [info] topic=vd/scatter, payload={"xy": [10.171771525885656, -0.4005607786383265], "xz": [10.171771525885656, 2.0181743852470504]}
[2025-09-02 17:04:28.362] [info] topic=vd/scatter, payload={"xy": [10.139352839925772, -0.49247293555778093], "xz": [10.139352839925772, 2.0202892009592976]}
[2025-09-02 17:04:28.362] [info] topic=vd/scatter, payload={"xy": [10.094649482842309, -0.6060745899313406], "xz": [10.094649482842309, 2.0229214754283835]}
[2025-09-02 17:04:28.362] [info] topic=vd/scatter, payload={"xy": [10.063304830918643, -0.7042840418258037], "xz": [10.063304830918643, 2.024259053136354]}
[2025-09-02 17:04:28.362] [info] topic=vd/scatter, payload={"xy": [10.022840656134733, -0.8116500648986901], "xz": [10.022840656134733, 2.027596982580212]}
[2025-09-02 17:04:28.363] [info] topic=vd/scatter, payload={"xy": [9.983017096814725, -0.8860223471015314], "xz": [9.983017096814725, 2.0285982185286118]}
[2025-09-02 17:04:28.363] [info] topic=vd/scatter, payload={"xy": [9.93625036525055, -0.9930624223245599], "xz": [9.93625036525055, 2.0311359542429934]}
[2025-09-02 17:04:28.372] [info] topic=vd/scatter, payload={"xy": [9.895391372232512, -1.0525569387047367], "xz": [9.895391372232512, 2.0312699090982793]}
[2025-09-02 17:04:28.373] [info] topic=vd/scatter, payload={"xy": [9.850536029827348, -1.1121976935655666], "xz": [9.850536029827348, 2.0315726847615516]}
[2025-09-02 17:04:28.374] [info] topic=vd/scatter, payload={"xy": [9.806052009288843, -1.1079274796021277], "xz": [9.806052009288843, 2.029962827751111]}
[2025-09-02 17:04:28.374] [info] topic=vd/scatter, payload={"xy": [9.753606282684737, -1.170944094563013], "xz": [9.753606282684737, 2.0295548656296356]}
[2025-09-02 17:04:28.374] [info] topic=vd/scatter, payload={"xy": [9.711871509445235, -1.1750465194464752], "xz": [9.711871509445235, 2.028319841781726]}
[2025-09-02 17:04:28.374] [info] topic=vd/scatter, payload={"xy": [9.67200930891395, -1.2381801207691698], "xz": [9.67200930891395, 2.0285202987508213]}
[2025-09-02 17:04:28.374] [info] topic=vd/scatter, payload={"xy": [9.621268582550057, -1.299424256022743], "xz": [9.621268582550057, 2.0279847324693367]}
[2025-09-02 17:04:28.375] [info] topic=vd/scatter, payload={"xy": [9.58719911228588, -1.3330285687913122], "xz": [9.58719911228588, 2.027008214877739]}
[2025-09-02 17:04:28.375] [info] topic=vd/scatter, payload={"xy": [9.555442653438451, -1.3268437447022656], "xz": [9.555442653438451, 2.0252334181616205]}
[2025-09-02 17:04:28.375] [info] topic=vd/scatter, payload={"xy": [9.527675904830627, -1.3144412770708653], "xz": [9.527675904830627, 2.024343685102634]}
[2025-09-02 17:04:28.375] [info] topic=vd/scatter, payload={"xy": [9.502252953746169, -1.3190914951613888], "xz": [9.502252953746169, 2.0233946348185965]}
[2025-09-02 17:04:28.376] [info] topic=vd/scatter, payload={"xy": [9.47502818164262, -1.3168420539306052], "xz": [9.47502818164262, 2.022472616096416]}
[2025-09-02 17:04:28.376] [info] topic=vd/scatter, payload={"xy": [9.449887813951884, -1.305048065986687], "xz": [9.449887813951884, 2.021262906307582]}
[2025-09-02 17:04:28.376] [info] topic=vd/scatter, payload={"xy": [9.419377948759752, -1.3171087347518071], "xz": [9.419377948759752, 2.020529945947724]}
[2025-09-02 17:04:28.376] [info] topic=vd/scatter, payload={"xy": [9.390747774900674, -1.3293804495612742], "xz": [9.390747774900674, 2.0192189408345875]}
[2025-09-02 17:04:28.377] [info] topic=vd/scatter, payload={"xy": [9.35910431022597, -1.3421761513208257], "xz": [9.35910431022597, 2.0180922769043903]}
[2025-09-02 17:04:28.377] [info] topic=vd/scatter, payload={"xy": [9.338828362213759, -1.3416321471181163], "xz": [9.338828362213759, 2.0165055022187826]}
[2025-09-02 17:04:28.377] [info] topic=vd/scatter, payload={"xy": [9.320927259797605, -1.3526855732504113], "xz": [9.320927259797605, 2.015603699799687]}
[2025-09-02 17:04:28.377] [info] topic=vd/scatter, payload={"xy": [9.302279998082449, -1.343248195478802], "xz": [9.302279998082449, 2.014159175507322]}
[2025-09-02 17:04:28.377] [info] topic=vd/scatter, payload={"xy": [9.281245576049017, -1.3646974144495498], "xz": [9.281245576049017, 2.014247431333889]}
[2025-09-02 17:04:28.378] [info] topic=vd/scatter, payload={"xy": [9.262330555534438, -1.4031029598670492], "xz": [9.262330555534438, 2.013878685329703]}
[2025-09-02 17:04:28.378] [info] topic=vd/scatter, payload={"xy": [9.239469952965793, -1.4473719516009367], "xz": [9.239469952965793, 2.014006924363685]}
[2025-09-02 17:04:28.378] [info] topic=vd/scatter, payload={"xy": [9.224879514039772, -1.4715947687880575], "xz": [9.224879514039772, 2.0135534814734264]}
[2025-09-02 17:04:28.378] [info] topic=vd/scatter, payload={"xy": [9.2049805914653, -1.507870363890504], "xz": [9.2049805914653, 2.012680315676798]}
[2025-09-02 17:04:28.379] [info] topic=vd/scatter, payload={"xy": [9.190580338153918, -1.5345990195015489], "xz": [9.190580338153918, 2.0118619712499672]}
[2025-09-02 17:04:28.379] [info] topic=vd/scatter, payload={"xy": [9.16978143089036, -1.5557805173103678], "xz": [9.16978143089036, 2.010158507211833]}
[2025-09-02 17:04:28.379] [info] topic=vd/scatter, payload={"xy": [9.150602881747478, -1.6017385269041682], "xz": [9.150602881747478, 2.010177671848743]}
[2025-09-02 17:04:28.379] [info] topic=vd/scatter, payload={"xy": [9.139901604492024, -1.5906673204053121], "xz": [9.139901604492024, 2.00969514869744]}
[2025-09-02 17:04:28.380] [info] topic=vd/scatter, payload={"xy": [9.122513249316425, -1.6256569279239765], "xz": [9.122513249316425, 2.0096705627064444]}
[2025-09-02 17:04:28.380] [info] topic=vd/scatter, payload={"xy": [9.109357293218784, -1.647613980737451], "xz": [9.109357293218784, 2.0089051752891094]}
[2025-09-02 17:04:28.380] [info] topic=vd/scatter, payload={"xy": [9.092395744157685, -1.6900676861901873], "xz": [9.092395744157685, 2.0081758197617563]}
[2025-09-02 17:04:28.380] [info] topic=vd/scatter, payload={"xy": [9.066135663364907, -1.7548752243598633], "xz": [9.066135663364907, 2.0075774886535527]}
[2025-09-02 17:04:28.381] [info] topic=vd/scatter, payload={"xy": [9.049875377075148, -1.8067831053862935], "xz": [9.049875377075148, 2.0069770093229415]}
[2025-09-02 17:04:28.381] [info] topic=vd/scatter, payload={"xy": [9.033908323122663, -1.81017761084456], "xz": [9.033908323122663, 2.0055283443125953]}
[2025-09-02 17:04:28.381] [info] topic=vd/scatter, payload={"xy": [9.011891124326784, -1.8750393782098065], "xz": [9.011891124326784, 2.0049530920804965]}
[2025-09-02 17:04:28.381] [info] topic=vd/scatter, payload={"xy": [8.968770486133293, -1.961929586955032], "xz": [8.968770486133293, 2.005326248037147]}
[2025-09-02 17:04:28.382] [info] topic=vd/scatter, payload={"xy": [8.948112289463406, -1.9725341789311357], "xz": [8.948112289463406, 2.00538863245605]}
[2025-09-02 17:04:28.382] [info] topic=vd/scatter, payload={"xy": [8.920162276265618, -2.024384720781655], "xz": [8.920162276265618, 2.004958260471026]}
[2025-09-02 17:04:28.382] [info] topic=vd/scatter, payload={"xy": [8.898348572732546, -2.0488711575398], "xz": [8.898348572732546, 2.0040843586580617]}
[2025-09-02 17:04:28.382] [info] topic=vd/scatter, payload={"xy": [8.877098262037805, -2.0752369317544876], "xz": [8.877098262037805, 2.0037541892461186]}
[2025-09-02 17:04:28.383] [info] topic=vd/scatter, payload={"xy": [8.850903385377489, -2.1157712789695333], "xz": [8.850903385377489, 2.0038951723228253]}
[2025-09-02 17:04:28.383] [info] topic=vd/scatter, payload={"xy": [8.825241560303706, -2.131580685063439], "xz": [8.825241560303706, 2.0027206494326566]}
[2025-09-02 17:04:28.389] [info] topic=vd/scatter, payload={"xy": [8.800498161645153, -2.139446295261316], "xz": [8.800498161645153, 2.0017239105647593]}
[2025-09-02 17:04:28.389] [info] topic=vd/scatter, payload={"xy": [8.77391018259534, -2.1420251207233236], "xz": [8.77391018259534, 2.0010965302107255]}
[2025-09-02 17:04:28.390] [info] topic=vd/scatter, payload={"xy": [8.754737189174223, -2.1370707427156987], "xz": [8.754737189174223, 2.000137917381613]}
